Nome,Versão,Autor,Descrição
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
sampleproject,3.0.0,,A sample Python project
